"job_title","job_description","salary_string"
Receptionist,"To manage our front desk on a daily basis and to perform a variety of administrative and clerical tasks.
Answer, screen and forward incoming phone calls.
Assisting staff with their general office requirements.
Prepare outgoing mail by drafting correspondence, securing parcels etc.
Proficient in English (oral and written)
Excellent knowledge of MS Office (especially Excel and Word)
Strong communication and people skills
Good organizational and multi-tasking abilities
Problem-solving skills
Customer service orientation
Job Type: Full-time
Salary: AED3,000.00 - AED3,001.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
receptionist: 1 year (Preferred)
Language:
Tagalog (Required)
Application Deadline: 17/02/2023","AED3,000 - AED3,001 a month"
Finance Controller,"Job Responsibilities
Drive the company’s financial planning
Perform risk management by analyzing the organization’s liabilities and investments
Decide on investment strategies by considering cash and liquidity risks
Control and evaluate the organization’s fundraising plans and capital structure
Ensure cash flow is appropriate for the organization’s operations
Supervise all finance personnel (controllers, treasurers etc.)
Manage vendor relationships
Prepare reliable current and forecasting reports
Set up and oversee the company’s finance system
Ensure compliance with the law and company’s policies
Job Requirements
Proven experience as Finance Director, finance officer or relevant role
In depth knowledge of corporate financial law and risk management practices
Excellent knowledge of data analysis and forecasting methods
Proficient in the use of MS Office and financial management software (e.g. SAP)
Ability to strategize and solve problems
Strong leadership and organizational skills
Excellent communication and people skills
An analytical mind, comfortable with numbers
ACCA is a strong advantage
BSc/BA in Accounting, Finance or relevant field; MSc/MBA is a plus
Job Type: Full-time
Salary: AED40,000.00 - AED45,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or willing to relocate with an employer-provided relocation package (Required)
Language:
Mandarin (Preferred)
Willingness to travel:
75% (Preferred)","AED40,000 - AED45,000 a month"
Collections Team Leader,"Our client are a multi-award winning luxury real estate development group and one of the biggest and best known brands in Dubai!
Due to their continued success and further exponential growth planned for 2023, they have opportunities for multiple Arabic, English, French, Chinese and Russian-Speaking Collections Team Leaders and Managers to join the team. As a Collections Team Lead, you will support and manage the team, to ensure the department collection targets are consistently achieved.
Acting as the liaison between creditors and customers, your work will directly empower the delivery of key projects throughout Dubai.
Some of the Perks:
Competitive salaries, ranging from 12,000-15,000 AED (monthly) + commission + team performance bonus.
30 days holiday.
Fantastic location and luxury offices.
A professional and collaborative work environment.
Opportunities to progress within a market leading business.
The Role
Organise and supervise the work of the assigned team to ensure that all work is carried out in an efficient manner, which is consistent with operating procedures and policy.
Provide on-the-job training and constructive feedback to the assigned team on processes and soft skills to support their overall development.
Promote the organisation’s values and ethics in all activities within the team to support the establishment of a value-driven culture.
Handle and contact the portfolio of clients, as per the target set, and negotiate to change payment plan and request exceptions if necessary.
Ensure that team members achieve the connected call target and work collectively to achieve the department collection target.
Coach and train the team, listen to calls, check the quality of emails sent by staff in addition to complaint handling and provide monthly feedback.
Provide feedback to the line manager and Vice President regarding the observation and required support/ enhancements.
Key Requirements:
5 years relevant collections experience (preferably working in Dubai).
Working knowledge of Real Estate.
Degree educated.
Preferred knowledge of Salesforce.
Able to apply learning, adapt and build relationships.
A positive, proactive and can-do attitude.
Hardworking and driven, with a confident style and passion for excellent customer service.
If you want to join the group shaping the future of Dubai - APPLY NOW!
Job Types: Full-time, Permanent
Salary: AED12,000.00 - AED16,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
What are your monthly salary expectations?
Expected Start Date: 28/03/2023","AED12,000 - AED16,000 a month"
Social Media Content Creator/ PR- FEMALE,"FEMALE and ARABIC speaking social media content producer is required with PR skills.
Must also be able to read and write Arabic.
Working for a secure startup company involved in beauty and fashion.
You must be familiar with design principles, motion graphics, animation and video editing to a very good level. Must be adept at ADOBE suite etc.
Must also have familiarity with analytics.
Outgoing fun personality, confident, good in front of the camera and able to engage at a PR level is also important.
You will be working in a small team for a startup so creative flair, thinking outside the box etc is encouraged.
Please attach a picture with your CV.
You must have your OWN visa, e.g: freelance, residence, spouse etc.
Commission and Bonus on top of salary available to the right candidate.
Job Type: Full-time
Salary: AED6,000.00 - AED8,000.00 per month
Application Question(s):
Do you have your own relevant Visa? eg, Freelance, resident etc
Are you fluent in written spoken Arabic?
Expected Start Date: 28/02/2023","AED6,000 - AED8,000 a month"
Office Secretary,"Job description
Nano Protection Layers one of the leading formulas in surface protection of multiple of sectors.
About the role:
An Office Secretary is an important key position that will be the first step into a much bigger future.
General Administrative duties:
Making and receiving telephone calls, inquiries and requests, and handling them when appropriate;
Liaising with customers and other staff;
Organizing and maintaining the Management diary and making appointments;
Writing emails/letters and typing minutes and meeting reports;
Organizing and attending meetings;
Dealing with the Management incoming emails;
Designing and producing documents, briefing papers, reports and presentations;
Devising and maintaining office systems, including data management, filing, etc;
Overseeing office management ensuring high standards are maintained;
Dealing with Management personal matters including holidays, flights, banking, family, housing and other private matters;
Business Administrative duties:
Carry out specific projects, research and administration as required by the Management;
Assist in company registration and pre-qualification with customers.
Company Secretarial matters:
Manage business registration license renewal and liaison with auditors to submit VAT on time.
Conduct research on items/companies/competitors/etc as requested by the Management.
Communication point between the HQ and the other branch.
Competencies
Experience of at least 5-10 years.
Can handle pressure and workload.
Solid written and verbal communication skills in English.
Multitasking and time-management skills, with the ability to prioritize tasks.
Proficiency in Microsoft Office Suite.
Professional attitude and appearance.
Highly organized.
Job type: Permanent
Salary: 2,500 AED
Location: Dubai, UAE
Job Types: Full-time, Permanent
Salary: AED2,500.00 per month
Experience:
administration: 3 years (Required)
Application Deadline: 17/02/2023","AED2,500 a month"
Cashier,"Job description
Essential Duties and Responsibilities:
· Greeting customers who enter the shop.
· Providing excellent customer services that promote satisfaction.
· Receive payments by cash, credit cards or automatic debits.
· Issue Receipts, refunds, credits or change due to customers.
· Count Money in the cash drawer to beginning of the shifts to ensure that the amounts are correct and that there is adequate change.
· Maintain Clean and Orderly checkout areas.
· Establish and identify the prices of products, services and tabulate bills using calculators, cash registers, or optical price scanners.
· Bag, Wrap, Gift Wrap merchandise and prepare the items for delivery.
· Pay Company Bills by using Petty Cash.
· Resolve customer complaints.
· Answering Phone Calls.
· Take Order over the phone and via email.
· Answer Customers question and provide information on procedures or policies.
Follow all relevant health department rules/regulations and all customer service guidelines
Education and/or Work Experience Requirements:
· Excellent verbal and written communication skills, including ability to effectively communicate with internal and external customers.
· Proven Work experience as cashier.
· Hands on experience with point of Sales and any ordering information system.
· Active and listening effective comminutions.
· Must be able to work under pressure and meet deadlines, while maintaining a positive attitude and providing exemplary customer service.
· Ability to work independently and to carry out assignments to completion within parameters of instructions given, prescribed routines, and standard accepted practices
Salary From AED 2000 to AED 2500
Job Types: Full-time, Permanent
Location: Dubai United Arab Emirates
Job Type: Full-time
Salary: AED2,000.00 - AED2,500.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
Cashier: 1 year (Preferred)","AED2,000 - AED2,500 a month"
UAE Bike Riders,"Hiring Bike riders with locally (UAE License).
Age : 21 - 35.
Visa
With Bike / without Bike
Share your Cv’s on the WhatsApp No 0524917077.
Job Type: Full-time
Salary: AED2,000.00 - AED3,000.00 per month plus performance incentive
Job Types: Full-time, Permanent
Salary: AED2,000.00 - AED3,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Preferred)
License/Certification:
Valid UAE driving license (Required)","AED2,000 - AED3,000 a month"
Billing Clerk,"Reports
· Creating database for maintenance and follow-up of rebates and rentals
· Reconciliation of UCOP statement
· Salesman daily report check, creating schedule
· Salesman debtors list: payment follow up and print out (report to management)
· Reporting abnormalities in LPO’s related to pricing/quantities
· Faxing account statements to Hyper Panda, T.Choithram, Al safer and Al maya
Data entry
· Daily deposit
· Credit invoices
· Preparing credit invoices from Ace Distributors to Gem Plaza and Catwalk Trading. Updating the same immediately as when received.
· PDC cheque entry
· Cash memos, credit DO received entry
· Credit note entry
· Cash memos and yellow copies received
· Dummy purchase /sale
Filing
· PDC cheque filing
· Filing of sales return
· Rebate filing for Carrefour and Lulu
Job Type: Full-time
Salary: From AED2,500.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)","AED2,500 a month"
freelance social media and content creator,"Roles and Responsibilities
Understand client business objectives and create innovative social media strategies for current and potential clients that you're passionate about.
Coordinate, execute and manage all social media marketing (organic & paid) activities for your client portfolio and ensure timely delivery.
Ideate engaging and innovative content for your client's Social Media feeds that is on brand and in line with platform requirements and best practices.
Ability to create engaging, high-quality content and maintain a social media content schedule.
Produce weekly and monthly reports on organic performance, deriving insights to improve and optimize performance
Monitor and report on traffic, audience growth, and content engagement, and use these to develop further growth strategies
Daily monitoring of client's social media accounts including responding to and engaging directly with audiences in a timely and authentic way.
Developing and overseeing competitions, brand collaborations, social media campaigns, and staying up-to-date with the latest social media trends.
Working alongside the Graphic designer to create visually appealing content for the email and social media campaigns
Able to identify opportunities for client growth and confidently propose upsell recommendations
Creations of blog and articles
Develop presentations, and monthly client reports, and perform competitors and brand analysis.
Key Selection Criteria
At least 2 years of experience in a similar role required
Google Adwords, Google Analytics & Social Media marketing experience are a must
Demonstrated agency experience with proven experience executing a social media strategy from a tactical level.
Experience working with Facebook Business Manager (organic & paid features)
A creative and collaborative mindset with excellent attention to detail.
Experience building online communities and driving social engagement
Experience running Facebook/ Instagram/ LinkedIn & Pinterest ads
Excellent copywriting skills and content creation
Be able to take initiative and drive to improve and iterate on current performance
Organised and Highly motivated, able to multi-task, show initiative
Must to speak fluently in English and Arabic
Job Type: Temporary
Contract length: 2 months
Salary: From AED6,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
social media: 3 years (Required)
Application Deadline: 26/02/2023","AED6,000 a month"
PA to Operations Manager,"We are looking for a PA for Operations Manager.
Fluently in English Language.
UAE Experience is Mandatory, Preferred in Interior Design company.
Must has Advanced level in Microsoft Tools.
Communication Skills, Reporting Skills. Salary depend on the Experience.
Job Type: Full-time
Salary: AED3,000.00 - AED6,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
Personal Assistant: 3 years (Required)
Language:
English (Required)
License/Certification:
Driving License (Required)","AED3,000 - AED6,000 a month"
Executive Assistant,"We’re looking for executive assistant who can help CEO on a daily basis and act as a right hand to execute and follow up on ideas and schedules. You need to be able to identify problems and suggest improvements in different areas to anticipate the needs.
Most important thing is making sure you are hungry, have a strong work ethic and ready to grow in the company.
Qualifications needed;
Film school education or direct experience from working in production (optional but preferably)
Be a good people person and communicate and give feedback with employees
Good understanding of recruitment and how to find quality candidates
Leadership qualities and assigning responsibilities
Well-organized, efficient, and adaptable
You will be working closely with CEO to discuss all the areas mentioned above. It’s important that you have at least intermediate knowledge in these areas.
Daily activities will include;
Review reports and make sure we make decisions to reach our goals
Review conversations in channels and production workflow
Help with onboarding new employees
Job Type: Full-time
Salary: AED5,000.00 - AED8,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
Executive Assistant: 2 years (Required)
Language:
English (Required)","AED5,000 - AED8,000 a month"
Logistics Customer Service Executive,"What We Do:
The TLM Group is a Distributor of Wi-Fi Networking and Consumer Technology Hardware. Established in 1997, TLM boasts a distribution portfolio of leading ICT brands including HP, Epson, Ubiquiti, MikroTik, TP-Link, RF-Elements, Aruba and many more. TLM is also a strategic investor in its logistics capabilities and has over 300,000sqft of world-class warehousing facilities in the Jebel Ali Free Zone, Dubai.
What We’re Looking For:
A highly organized and detail-oriented Customer Service Executive with excellent knowledge of logistics, customs, documentation who will be responsible for coordinating and managing the end-to-end Logistics cycle to ensure highest level of customer support is extended.
What Will You Do:
· Develop and maintain relationships with 3PL & Warehousing clients.
· Understanding customers storage requirements, requesting for emails, discussing internally & sending quotations
· GRNS & GDNS Preparation
· Following up with the clients in case of non- receipt of information required for GRN & GDN preparation.
· Preparing a detailed stock verification report & sharing it timely with clients
· Preparing Invoice as per client’s requirements
· Addressing clients queries on invoices, GRNS, GDNS, stock variance etc.
· Coordinating with warehouse team regarding inbounds & outbound shipments.
· Coordinating with internal team.
· Coordinating with clients to discuss payment terms & also follow up on payments.
· Keeping clients posted with manual GRN, Damages/Shortages/ Excess during inbounds if any.
What Talent Do You Bring:
· Bachelor's degree in a related field
· 5+ years of experience in Logistics Coordination or Logistics Customer Service Role
· Excellent Knowledge of Logistics, Customs, Documentations
· Strong understanding of UAE customs and regulations, and experience working in the UAE.
· Strong communication, organizational, and analytical skills
What We Offer:
A great workplace environment with fun, energetic teammates
An opportunity to be part of fast-growing business that welcomes new ideas
Compensation structure as per industry standards
Job Type: Full-time
Salary: AED4,500.00 - AED5,000.00 per month
Application Question(s):
Do you have strong understanding of UAE customs and regulations, Answer in Yes or No
Experience:
Logistics Coordination: 4 years (Preferred)
Application Deadline: 24/02/2023","AED4,500 - AED5,000 a month"
Telesales Executive,"Tele-Sales Executive – Dubai UAE
Job Overview
We are looking for an enthusiastic & Goal Oriented Tele sales Representative to contribute in generating sales for our company. You will be responsible for closing sales over the phone and maintaining good customer relationships.
Only experienced (Minimum 6 months or 1 year of Tele sales Experience - Telecommunication)
Salary: 2000AED to 2500AED + Incentives.
Requirements:
Excellent communication and interpersonal skills
Be a good team player & Good time-management Skills.
Should be competitive & confident.
Should be able to take initiative and work on their own to achieve targets.
Proven experience as tele sales representative or other sales role.
Ability to learn about products and services and describe/explain that to clients.
Strong listening, presentation and decision-making skills.
Candidates having Own/ Sponsor visa will be preferred.
Responsibilities:
Meet and exceed Monthly Sales Target
Generate Sales leads and maintain sales pipeline
Identify new business opportunity
Work Remotely:
No
Language:
Mandatory (English + Hindi + Malyalam)
Job Type: Full-time
Salary: AED2,000.00 - AED2,500.00 per month
COVID-19 considerations:
Yes
Experience:
telemarketer: 1 year (Preferred)","AED2,000 - AED2,500 a month"
Business Setup Consultant,"Venture Zone, the leading Business Setup and Centers is looking for a skilled and experienced Business Setup Consultant. Venture Zone is a company that believes in giving its customers the best. Our core team consist of vibrant and young staff who enjoy brainstorming and co-working towards bettering the quality of the company's services.
We are urgently looking to recruit Business Setup Consultants at our Dubai office. The ideal person should be experienced and well-organized Salesman. A Business Setup Consultant will become a single point of reference for our clients. The goal is to showcase our services, providing premium customer service and closing the deals successfully. Candidate must have enough knowledge of setting up a company in Mainland, Free Zone, Onshore / Offshore and Business Setup in the United Arab Emirates.
JOB ACTIVITIES:
#Attending business events when necessary in order to acquire new business for the company
#Provide complete business setup advice to clients who want to set up their business in the UAE (free zones, mainland, offshore)
#Prepare and arrange all documents and applications required for business setup and visa transactions.
#Assists in the enforcement of project deadlines and schedules
#Ensure awareness of periodic changes to government policies, laws, regulations, processes, requirements and their resulting impact on business needs
#The role entails a basic salary plus exciting incentive structure & future growth prospects
#Must be a self-starter, organised, go-getter, quality-oriented and performance oriented individual
#Excellent in presentation, proposal preparation, excel based forms and MIS sheets, policy drafting and publishing and research paper work
Experience and Knowledge:
Business Setup: 2-4 years
Graduate
Knowledge of government regulations as you will need to provide advice based on current regulations.
Familiarity with UAE Labour and Immigration Ministries and other government bodies including expert-level knowledge about UAE Free zone & Mainland Company Incorporation.
Knowledge of different types of Government Approvals in order to ensure businesses run legally and seamlessly.
Strong background in UAE company laws.
Ability to manage relationships at multiple levels in with private companies and government agencies.
Job Type: Full-time
Salary: AED4,000.00 - AED7,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)","AED4,000 - AED7,000 a month"
